Title,Region,Brand,Currency,Denomination,Discount,Product Type,Unnamed: 6,Image
Aeropostale India,Global,India,Aeropostale India,INR,500-50000,0.0446,Live,
Ajio India,Global,India,Ajio India,INR,50-10000,-0.015,Live,
Amazon India,Global,India,Amazon India,INR,10-10000,-0.01,Live,
Amazon Prime India,Global,India,Amazon Prime India,INR,"599 (3M), 1499 (12M)",0.1142,Live,
Amazon Shopping Voucher India,Global,India,Amazon Shopping Voucher India,INR,10-10000,0.0138,Live,
Apollo Pharmacy India,Global,India,Apollo Pharmacy India,INR,"100, 250, 500, 1000",0.0627,Live,
App Store & iTunes India,Global,India,App Store & iTunes India,INR,"100, 200, 250, 500, 1000, 1500, 2000, 2500, 3000, 4000, 5000, 7500, 10000",Price Upon Request,Stocked,
Armani Exchange India,Global,India,Armani Exchange India,INR,1000-10000,-0.03,Live,
Arrow India,Global,India,Arrow India,INR,250-50000,0.044675,Live,
Aurelia India,Global,India,Aurelia India,INR,250-5000,0.06785,Live,
